episode_id,folder,path,n_frames,n_engaged,engaged_frac,duration_s,success,seed,mode,color_bin_mapping,has_intent,gaze_valid_frac,gaze_valid_engaged,has_state,cameras,has_images,n_objects,n_bins,rate_hz,image_scale,schema_version,error
095,095,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\095\episode.hdf5,1688,1575,0.933,56.233,success,856373139,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.988,0.99,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
096,096,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\096\episode.hdf5,2056,1945,0.946,68.5,success,655638367,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.981,0.986,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
097,097,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\097\episode.hdf5,1767,1691,0.957,58.867,success,2063002044,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.931,0.928,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
098,098,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\098\episode.hdf5,1670,1580,0.946,55.633,success,734444628,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.976,0.985,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
099,099,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\099\episode.hdf5,1647,1552,0.942,54.867,success,1786944223,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.967,0.965,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
100,100,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\100\episode.hdf5,1562,1464,0.937,52.033,success,318500853,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.972,0.971,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
101,101,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\101\episode.hdf5,2166,2098,0.969,72.167,success,957902999,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.99,0.99,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
102,102,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\102\episode.hdf5,2738,2670,0.975,91.233,success,1545876062,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.97,0.973,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
103,103,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\103\episode.hdf5,1562,1451,0.929,52.033,success,1555350980,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.98,0.982,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
104,104,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\104\episode.hdf5,2096,2035,0.971,69.833,success,1668116951,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.98,0.98,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
105,105,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\105\episode.hdf5,1598,1515,0.948,53.233,success,1099215822,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.969,0.968,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
106,106,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\106\episode.hdf5,1584,1488,0.939,52.767,success,730615535,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.963,0.962,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
107,107,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\107\episode.hdf5,1508,1399,0.928,50.233,success,1025714776,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.948,0.944,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
108,108,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\108\episode.hdf5,1732,1670,0.964,57.7,success,998614779,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.962,0.96,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
109,109,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\109\episode.hdf5,2013,1915,0.951,67.067,success,1179984878,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.916,0.912,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
110,110,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\110\episode.hdf5,1834,1731,0.944,61.1,success,1960382432,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.973,0.971,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
111,111,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\111\episode.hdf5,1816,1715,0.944,60.5,success,1041090724,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.963,0.976,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
112,112,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\112\episode.hdf5,1956,1847,0.944,65.167,success,1976658528,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.966,0.965,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
113,113,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\113\episode.hdf5,1609,1493,0.928,53.6,success,1617400748,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.996,0.996,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
114,114,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\114\episode.hdf5,1478,1404,0.95,49.233,success,776995871,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.979,0.978,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
115,115,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\115\episode.hdf5,2078,1970,0.948,69.233,success,41783450,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.943,0.94,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
116,116,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\116\episode.hdf5,1778,1670,0.939,59.233,success,594544910,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.973,0.971,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
117,117,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\117\episode.hdf5,1848,1738,0.94,61.567,success,1896204137,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.977,0.977,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
118,118,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\118\episode.hdf5,1612,1532,0.95,53.7,success,82162679,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.957,0.955,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
119,119,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\119\episode.hdf5,1672,1577,0.943,55.7,success,847572507,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.995,0.994,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
120,120,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\120\episode.hdf5,1665,1576,0.947,55.467,success,156580103,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.97,0.969,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
121,121,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\121\episode.hdf5,2030,1957,0.964,67.633,partial,679232704,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.975,0.974,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
122,122,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\122\episode.hdf5,1751,1676,0.957,58.333,success,423733086,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.972,0.975,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
